                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.56479,                0.59008,                0.89812,                 0.8097,                0.98045,                0.87137,                0.78483,                0.47467,                0.42014,                0.85723,              0.0091486,              0.0091486,              0.0091486
                     88,                0.56489,                0.57136,                0.89455,                 0.8174,                0.99047,                0.85112,                0.77531,                0.46114,                0.42383,                0.85394,              0.0091387,              0.0091387,              0.0091387
                     89,                0.56049,                0.57326,                0.89313,                0.80904,                0.99191,                0.85096,                0.76806,                0.48256,                0.41687,                0.86078,              0.0091288,              0.0091288,              0.0091288
                     90,                0.55574,                0.57046,                0.88705,                0.81566,                0.98269,                0.85567,                0.77787,                 0.4749,                0.41812,                0.85334,              0.0091189,              0.0091189,              0.0091189
                     91,                0.55613,                0.56924,                0.88671,                0.81493,                0.98992,                 0.8477,                0.77002,                0.45944,                0.39902,                0.85017,               0.009109,               0.009109,               0.009109
                     92,                0.55374,                0.57275,                0.88621,                 0.8214,                0.99324,                0.85967,                0.77913,                 0.4761,                0.41044,                0.85358,              0.0090991,              0.0090991,              0.0090991
                     93,                0.56362,                0.57076,                0.89391,                0.81886,                0.99324,                0.85766,                0.78376,                 0.4584,                0.40617,                0.84975,              0.0090892,              0.0090892,              0.0090892
                     94,                0.55736,                 0.5698,                0.89428,                0.81145,                0.98006,                 0.8696,                0.79131,                 0.4674,                0.42549,                0.85222,              0.0090793,              0.0090793,              0.0090793
                     95,                0.56043,                0.56802,                0.89775,                0.81851,                0.99023,                0.87805,                0.79599,                0.46688,                0.40445,                 0.8518,              0.0090694,              0.0090694,              0.0090694
                     96,                 0.5668,                 0.5687,                0.89822,                0.81303,                0.99023,                0.86807,                0.78817,                0.46413,                0.40919,                0.85388,              0.0090595,              0.0090595,              0.0090595
                     97,                0.55914,                0.56344,                0.89828,                0.79823,                0.96979,                0.86369,                0.78448,                0.45977,                0.46445,                 0.8515,              0.0090496,              0.0090496,              0.0090496
                     98,                0.55855,                0.57036,                0.89536,                 0.8065,                0.98421,                0.84333,                0.76135,                0.47386,                0.42202,                 0.8542,              0.0090397,              0.0090397,              0.0090397
                     99,                0.56494,                0.56727,                0.88928,                 0.8184,                0.99324,                0.85176,                0.77485,                0.46339,                0.40442,                0.85216,              0.0090298,              0.0090298,              0.0090298
                    100,                0.55302,                0.54922,                0.89023,                0.81873,                0.99324,                0.87436,                0.79259,                 0.4824,                0.40979,                0.85854,              0.0090199,              0.0090199,              0.0090199
                    101,                0.55569,                0.57121,                0.89131,                 0.8094,                0.99171,                 0.8648,                0.78723,                0.45082,                0.40478,                0.84543,                0.00901,                0.00901,                0.00901
                    102,                0.55443,                0.56844,                0.89096,                0.81712,                0.99008,                0.85446,                0.77879,                0.46094,                0.40395,                0.84865,              0.0090001,              0.0090001,              0.0090001
                    103,                0.54457,                0.55632,                0.88831,                 0.8175,                0.99324,                0.86615,                0.78675,                0.46866,                0.41352,                0.85411,              0.0089902,              0.0089902,              0.0089902
                    104,                0.55238,                0.56949,                0.88774,                0.81731,                0.98918,                0.86562,                 0.7863,                0.47168,                0.39975,                0.85547,              0.0089803,              0.0089803,              0.0089803
                    105,                0.55597,                0.56347,                0.89396,                0.81385,                0.99324,                0.86144,                0.78083,                0.46582,                0.41101,                0.85146,              0.0089704,              0.0089704,              0.0089704
